local,preco,metragem,quartos,garagens,banheiros,bairro
"Rua Pandiá Calógeras, Cajuru",780000,686,,,,21
"Rua Martim Afonso, Bigorrilho",2020000,141,3,3,5,14
"Rua Coronel Amazonas Marcondes, Cabral",984073,107,3,1,3,19
"Cidade Industrial, Curitiba",340000,96,3,2,1,33
"Rua Antônio Zanon, Tatuquara",320000,386,,,,73
"Rua Nicolau José Gravina, Cascatinha",2544967,256,4,4,3,27
"Ecoville, Curitiba",1320000,126,3,2,4,35
"Rua Antônio Zanon, Tatuquara",145000,49,2,1,1,73
"Avenida República Argentina, Portão",299768,48,,,,56
"Rua Mariano Torres, Centro",1192000,107,3,1,3,28
"Avenida Iguaçu, Vila Izabel",1783516,141,3,3,4,77
"Rua Eduardo Sprada, Campo Comprido",3150000,1993,,,,23
"Rua João Schleder Sobrinho, Boa Vista",568900,82-88,2-3,1,2,15
"Rua Ernesto Durigan, Cascatinha",1499000,250,3,2,3,27
"Rua Professor Pedro Viriato Parigot de Souza, Ecoville",3315375,227-393,3-4,4-5,5,35
"Santa Cândida, Curitiba",865000,148,3,2,3,60
"Rua Bolívia, Bacacheri",1150000,400,4,8,6,9
"Rua Coronel Ottoni Maciel, Portão",730000,117,3,2,3,56
"Rua Dona Alice Tibiriçá, Bigorrilho",700000,69,2,1,2,14
"Rua Dias da Rocha Filho, Alto da Rua XV",1263082,73,2,,3,6
"Praça Padre João Bagozzi, Água Verde",1590778,138,3,,4,1
"Juvevê, Curitiba",2325000,176,3,3,5,46
"Rua Benjamin Zilli, Ahú",3800000,463,5,3,7,2
"Rua Tobias de Macedo Júnior, Santo Inácio",431900,56,2,1,2,63
"Rua Zeila Moura dos Santos, Cristo Rei",432100,78,,,1,34
"Tingui, Curitiba",469900,59,2,1,1,74
"Rua Antônio Rodrigues, Seminário",950000,150,,2,5,69
"Novo Mundo, Curitiba",230000,40,2,1,1,51
"Rua Cocos, Uberaba",699000,125,3,2,3,75
"Rua Grã Nicco, Mossunguê",320000,56,,1,1,50
"Boa Vista, Curitiba",701076,74,2,1,2,15
"Rua Bom Jesus, Cabral",1440184,130,2,2,2,19
"Rua Alberto Potier, Boa Vista",726315,85,3,,2,15
"Santa Felicidade, Curitiba",600000,321,,,,61
"Rua Vinte e Nove de Junho, Bacacheri",757280,95,2,,2,9
"Água Verde, Curitiba",4228200,286,3,4,2,1
"Rua Vicente Ciccarino, Boa Vista",426900,57-115,2-3,1-2,2,15
"Rua Eduardo Sprada, Campo Comprido",5776059,600-662,4,2,3,23
"Rua Ricardo Negrão Filho, Portão",449000,82,3,1-2,2,56
"Rua Mato Grosso, Água Verde",2362445,155,3,3,1,1
"Rua Engenheiro Oswaldo Siqueira, Taboão",185000,378,,,,71
"Rua Benvenuto Gusso, Boa Vista",1200000,740,,,,15
"Pilarzinho, Curitiba",450000,455,,,,54
"Rua Ulisses José Ribeiro, Jardim das Américas",679340,600,,,,45
"Rua da Glória, Centro Cívico",430000,46,1,1,1,28
"Rua João Batista Trentin, Tingui",439900,60,2,1,1,74
"Rua Pedro Krasinski, Capão Raso",434770,73,2,1,2,26
"Rua Vinte e Nove de Junho, Bacacheri",786630,99,2,2,2,9
"Rua Jerônimo Durski, Bigorrilho",3570920,250,,6,,14
"Rua Júlia Huga Maria Negrello, Umbara",970000,191,3,2,3,76
"Rua Manoel Eufrásio, Juvevê",3250000,284,4,4,6,46
"Ecoville, Curitiba",1130962,105,2,2,2,35
"Rua Marumby, Campo Comprido",750000,208,3,3,2,23
"Rua Vereador Ângelo Burbello, Umbara",750000,130,3,2,3,76
"Rua Maria Augusta da Silva, Atuba",1399900,510,4,6,5,7
"Batel, Curitiba",624793,48,,,1,13
"Avenida Prefeito Maurício Fruet, Cajuru",220946,32,1,,1,21
"Avenida República Argentina, Água Verde",281000,34,,,1,1
"Rodovia BR-116, Xaxim",340000,55,2,1,2,79
"Rua Presidente Epitácio Pessoa, Tarumã",440000,56,2,1,2,72
"Rua Ricardo Negrão Filho, Portão",349000,74,2,1-2,2,56
"Rua Ricardo Negrão Filho, Portão",409000,100-148,2-3,1-2,2,56
"Rua Deputado Atílio de Almeida Barbosa, Boa Vista",625000,85-200,2-3,1-2,2,15
"Rua Embaixador Hipólito de Araújo, Prado Velho",380000,240,,,,57
"Rua Carolina Castelli, Novo Mundo",199000,45,2,1,1,51
"Rua Victório Viezzer, Vista Alegre",1200000,190,3,4,3,78
"Rua Reinaldo Stocco, Pinheirinho",800000,178,3,2,3,55
"Travessa João Bonn, Centro Cívico",1350000,120,3,2,3,28
"Travessa Rafael Francisco Greca, Água Verde",317030,31,1,1,1,1
"Cabral, Curitiba",3700000,233,3,3,5,19
"Rua Mariano Torres, Centro",715000,107,3,3,1,28
"Rua Maria Clara, Alto da Glória",2284400,204,3,4,3,4
"Batel, Curitiba",1424412,107,3,2,3,13
"Rua Monsenhor Manoel Vicente, Água Verde",1433250,129,3,2,4,1
"Ganchinho, Curitiba",379000,83,2,2,2,38
"Rua Gonçalves Dias, Batel",2213640,171,3,3,2,13
"Mercês, Curitiba",877400,90,2,2,3,49
"Rua Júlio Perneta, Mercês",1620000,134,2,2,2,49
"Avenida Presidente Affonso Camargo, Cristo Rei",552900,61,1,1,2,34
"Rua São Salvador, Pilarzinho",580000,68,,1,,54
"Rua João Bettega, Cidade Industrial",392410,61,3,1,2,33
"Rua Luísa Dariva, Barigui",9001000,432,4,5,6,11
"Rua Reinaldo de Carvalho, Ganchinho",289000,75,3,2,2,38
"Rua Nicolau Gulbino, Capão da Imbuia",193900,30,1,1,1,25
"Rua Jovino do Rosário, Boa Vista",421559,50-60,2-3,1,1-2,15
"Rua Marechal Trompowski, Bacacheri",395000,56-74,2-3,1-2,2,9
"Rua Marechal Trompowski, Bacacheri",223000,25,1,,1,9
"Rua Machado de Assis, Juvevê",791000,91,3,2,2,46
"Rua Paulo Martins, Mercês",2200000,1416,,,,49
"Rua João Tobias de Paiva Netto, Cajuru",800000,912,,,,21
"Rua João Batista Trentin, Tingui",439900,60,2,1,1,74
"Rua Pedro Krasinski, Capão Raso",434770,73,2,1,2,26
"Rua Vinte e Nove de Junho, Bacacheri",786630,99,2,2,2,9
"Rua José Noga, Alto Boqueirão",450000,72,3,2,1,3
"Rua Vicente Ciccarino, Boa Vista",1395000,183,2,2,3,15
"Rua Luiz França, Cajuru",228220,34,2,,1,21
"Rua Edmundo Alberto Mercer, Tingui",226900,30,1,1,1,74
"Rua Nicolau Maeder, Juvevê",3439000,219,4,2,6,46
"Rua Vereador Ângelo Burbello, Umbara",750000,130,3,2,3,76
"Rua Maria Augusta da Silva, Atuba",1399900,510,4,6,5,7
"Avenida Desembargador Hugo Simas, Bom Retiro",745000,94,2,1,2,16
"Rua Vereador Elias Karam, Fazendinha",550000,360,,,,37
"Rua Dona Alice Tibiriçá, Bigorrilho",5678270,444,4,4,4,14
"Avenida Visconde de Guarapuava, Centro",1235700,95,2,2,3,28
"Avenida República Argentina, Água Verde",281000,34,,,1,1
"Rodovia BR-116, Xaxim",340000,55,2,1,2,79
"Rua Angélica Maria Taborda Santos, Boqueirão",1990000,304,3,7,4,17
"Rua Presidente Epitácio Pessoa, Tarumã",440000,56,2,1,2,72
"Rua João Nicco, Mossunguê",474000,35-134,,1,1,50
"Rua Eugênio Flor, Abranches",698000,112-158,3,2-3,2,0
"Rua Irmãs Paulinas, Novo Mundo",337900,28-92,1-3,0-2,1-2,51
"Rua Itupava, Alto da Glória",2145000,195,,,2,4
"Praça Padre João Bagozzi, Portão",1989021,138,3,2,5,56
"Alameda Augusto Stellfeld, Bigorrilho",1503330,136,3,2,4,14
"Uberaba, Curitiba",1670000,266,3,2,5,75
"Rua Reinaldino Schaffenberg de Quadros, Cristo Rei",1040000,109,3,2,3,34
"Rua Irmãs Paulinas, Novo Mundo",390900,61,2,1,1,51
"Rua Brasílio Bacellar Filho, Tingui",401800,73,2,1,1,74
"Alameda Princesa Izabel, Bigorrilho",2090544,140,3,3,2,14
"Rua Joaquim Nabuco, Tingui",1350000,650,,,,74
"Rua José Antônio Leprevost, Santa Cândida",125000,100,,,,60
"Avenida Presidente Affonso Camargo, Cristo Rei",552900,61,1,1,2,34
"Rua Maria Clara, Alto da Glória",947000,75,2,2,3,4
"Atuba, Curitiba",689000,140,3,2,3,7
"Rua Coronel Dulcídio, Batel",1490000,305,3,3,4,13
"Rebouças, Curitiba",273683,29,1,,1,58
"Rua Antônio Muzzillo, Tingui",690000,370,,,,74
"Rua Fernandes de Barros, Hugo Lange",1120000,147,3,2,3,42
"Rua Ângelo Zeni, Bom Retiro",887000,157,3,2,3,16
"Rua Professor Luiz César, Água Verde",256900,32,1,,1,1
"Bigorrilho, Curitiba",2204193,150,3,3,4,14
"Avenida Munhoz da Rocha, Cabral",2950000,259,3,4,4,19
"Rua Alberto Potier, Boa Vista",574894,50-100,1-3,1-2,1-2,15
"Rua Natal Cecone, Ecoville",1400000,142,3-4,2-4,2-3,35
"Rua Major Theolindo Ferreira Ribas, Boqueirão",539019,105-123,3,2,3,17
"Rua José Pereira dos Anjos, Cidade Industrial",160000,43,3,1,1,33
"Rua XV de Novembro, Centro",330000,102,,,1,28
"Rua Engenheiro Niepce da Silva, Portão",1285000,10,,,1,56
"Rua Otávio Francisco Dias, Água Verde",225000,23,1,,1,1
"Avenida Senador Salgado Filho, Uberaba",1450000,1084,,,,75
"Boa Vista, Curitiba",710000,100,3,2,2,15
"Água Verde, Curitiba",915283,90,3,2,1,1
"Cabral, Curitiba",1750000,209,4,2,4,19
"Cabral, Curitiba",1564228,131,3,2,3,19
"Rua Paulo Setúbal, Boqueirão",288000,48,2,1,1,17
"Rua Carl Jung, Barreirinha",400000,422,,,,12
"Avenida República Argentina, Água Verde",218000,24,,,1,1
"Rua Emiliano Perneta, Centro",2597856,204,,,4,28
"Rua Theodoro Schneider, Portão",830000,696,,,,56
"Tingui, Curitiba",439900,59,2,1,2,74
"Rua Reinaldino Schaffenberg de Quadros, Alto da Rua XV",1391814,122,3,2,4,6
"Rua Irmãs Paulinas, Novo Mundo",259900,33,1,1,1,51
"Rua Urbano Lopes, Cristo Rei",1034126,109,3,2,2,34
"Rua Murilo do Amaral Ferreira, Água Verde",2200000,986,,,,1
"Rua Bom Jesus, Juvevê",1595170,147,3,2,3,46
"Travessa Percy Withers, Água Verde",3010000,309,3,4,5,1
"Avenida José Gulin, Bacacheri",307690,43-56,1-2,1,1,9
"Avenida Paraná, Boa Vista",1990000,359-368,,15,2,15
"Avenida Cândido Hartmann, Bigorrilho",399999,57-134,2-3,1-2,2-3,14
"Rua Magdalena de Almeida, Capão Raso",420000,111,2,1,1,26
"Rua Ipiranga, Capão Raso",1300000,226,4,4,3,26
"Rua Cidade de Capinzal, Fazendinha",450000,96,3,2,3,37
"Rua Hermenegildo Luca, Santa Felicidade",3980000,322,4,2,5,61
"Rua Doutor Augusto Lobo de Moura, Fazendinha",575000,116,3,1,3,37
"Rua Nicolau Gulbino, Capão da Imbuia",193900,30,1,1,1,25
"Rua Doutor Alexandre Gutierrez, Água Verde",2039856,152,3,3,3,1
"Rua Constantino Marochi, Juvevê",1115000,153,3,2,3,46
"Rua Arthur Mohr, Portão",599900,79,3,1,3,56
"Batel, Curitiba",4200000,470,3,3,4,13
"Avenida Presidente Affonso Camargo, Jardim Botânico",597200,63,2,1,2,43
"Rua Atílio Brunetti, Capão Raso",800000,568,,,,26
"Santo Inácio, Curitiba",4500000,1100,4,6,8,63
"Praça Generoso Marques, Centro",199900,95,,,1,28
"Rua Dom Pedro I, Água Verde",975569,88,2,1,2,1
"Cabral, Curitiba",2514000,241,3,3,3,19
"Rua Otávio Francisco Dias, Água Verde",225000,23,1,,1,1
"Rua Jovina de Oliveira Karan, Capão Raso",510000,442,,,,26
"Cabral, Curitiba",1750000,209,4,2,4,19
"Rua José de Oliveira Franco, Bairro Alto",1000000,3,5,8,4,10
"Alameda Cabral, São Francisco",1250000,127,3,3,2,19
"Rua Doutor Leão Mocellin, Santa Felicidade",185900,28-117,1-3,0-2,1-3,61
"Rua Deputado Heitor Alencar Furtado, Ecoville",4754840,320-503,3-4,3-4,6,35
"Rua Rosa Kaint Nadolny, Ecoville",704708,74-142,2-3,1-3,2-3,35
"Rua Luiz Tramontin, Campo Comprido",9800000,982,4,8,7,23
"Avenida Visconde de Guarapuava, Batel",4500000,345,4,4,6,13
"Rua Luiz Tramontin, Campo Comprido",8900000,1000,4,8,7,23
"Rua Desembargador Ernâni Almeida de Abreu, Tatuquara",255000,59,,1,,73
"Rua Padre Anchieta, São Francisco",1890000,283,4,3,5,65
"Santa Quitéria, Curitiba",1188000,100,2,3,3,62
"Avenida João Gualberto, Alto da Glória",590598,40,1,1,1,4
"Rua José Tomasi, Santa Felicidade",13000000,6050,,,,61
"Rua Guaratuba, Ahú",1544928,135,3,2,3,2
"Rua Governador Agamenon Magalhães, Cristo Rei",746790,87,2,2,2,34
"Rua Monsenhor Ivo Zanlorenzi, Ecoville",836357,113,3,,3,35
"Rua Ângelo Nabosne, Cidade Industrial",1354323,161,3,2,4,33
"Água Verde, Curitiba",980300,105,3,,3,1
"Avenida Silva Jardim, Batel",1916225,150,3,3,1,13
"Rua Vereador Garcia Rodrigues Velho, Cabral",1110830,101,2,2,3,19
"Rua Rosalino Mazziotti, Novo Mundo",480000,64,2,1,1,51
"Alto da Rua XV, Curitiba",2200000,653,,,,6
"Rua Voluntários da Pátria, Centro",450000,113,,,2,28
"Rua Alferes Ângelo Sampaio, Bigorrilho",777537,67,2,1,2,14
"Avenida Nossa Senhora Aparecida, Seminário",392490,48,2,1,2,69
"Rua Bôrtolo Pelanda, Umbara",598000,167,3,3,3,76
"Rua Rosa Kaint Nadolny, Ecoville",669492,74-142,2-3,1-2,2-3,35
"Rua Adolfo Werneck, Uberaba",450000,65-160,2-3,2-3,2,75
"Rua Luiz Ronaldo Canalli, Campo Comprido",325000,55-67,2-3,,1-2,23
"Umbara, Curitiba",780000,149,3,2,3,76
"Rua Álvaro Alvim, Seminário",2500000,415,4,7,6,69
"Avenida Munhoz da Rocha, Juvevê",3289000,225,3,3,4,46
"Cabral, Curitiba",780667,85,2,1,2,19
"Rua São Pedro, Cabral",3290000,240,3,3,4,19
"Rodovia BR-116, Novo Mundo",23000000,8686,,,,51
"Rua Irmã Anatólia, Cachoeira",485000,107,3,2,2,20
"Alameda Princesa Izabel, Bigorrilho",361621,31,1,1,1,14
"Fazendinha, Curitiba",575000,116,3,1,3,37
"Rua David Bodziak, Cachoeira",148000,45,2,,1,20
"Rua Coronel Brasilino Moura, Ahú",1500000,240,,6,6,2
"Rua Alberto Potier, Boa Vista",833880,85,3,1,2,15
"Rua Jóquei Clube, Prado Velho",650000,301,,,,57
"Rua Almirante Gonçalves, Água Verde",1050000,132,3,2,4,1
"Rua Mariano Torres, Centro",1139800,108,3,2,1,28
"Rua Deputado Heitor Alencar Furtado, Mossunguê",2650000,227,3,4,5,50
"Rua Nicolau Maeder, Juvevê",3227239,236,4,4,6,46
"Água Verde, Curitiba",2442000,155,3,3,4,1
"Rua Vereador Aurelino Mader Gonçalves, Xaxim",270000,47,2,1,1,79
"Rua Padre Antônio, Alto da Glória",2107490,148,3,3,4,4
"Rua Catarina Goossen, Xaxim",425000,77,3,1,2,79
"Rua João Bonat, Novo Mundo",374913,61-139,2-3,1-2,1-2,51
"Rua João Bonat, Novo Mundo",402400,62-74,2-3,1-2,2,51
"Rua João Batista Trentin, Tingui",403900,31-95,1-3,0-2,2-3,74
"Avenida Sete de Setembro, Batel",959000,155,4,2,4,13
"Avenida São José, Cristo Rei",795000,116,3,2,3,34
"Rua Angelina Legat Pasini, Alto Boqueirão",550000,630,,,,3
"Rodovia BR-116, Pinheirinho",265000,53,2,,2,55
"Rua Monsenhor Ivo Zanlorenzi, Campo Comprido",685000,89,2,2,2,23
"Alto da Glória, Curitiba",890000,118,3,2,3,4
"Boqueirão, Curitiba",650000,480,,,,17
"Rua Rosiane Jacomel, Cidade Industrial",220000,70,3,2,1,33
"Rua Frederico Maurer, Hauer",615000,143,3,2,3,41
"Rua Manoel Eufrásio, Ahú",1458490,133,3,2,3,2
"Bacacheri, Curitiba",770600,90,3,2,2,9
"Novo Mundo, Curitiba",429000,86,2,1,2,51
"Avenida Alcir Martins Bastos, Fazendinha",590000,360,,,,37
"Rua Quintino Bocaiúva, Cabral",1358000,131,3,2,4,19
"Rua Canadá, Bacacheri",835000,94,3,3,2,9
"Rua Maria Trevisan Tortato, Novo Mundo",650000,485,,,,51
"Rebouças, Curitiba",313500,35,1,,1,58
"Rua Padre Anchieta, Bigorrilho",352000,41,,1,1,14
"Alameda Presidente Taunay, Bigorrilho",2600000,431,3,3,5,14
"Rua Jornalista Caio Machado, Santa Quitéria",195703,28,1,,1,62
"Vila Izabel, Curitiba",905105,179,2,2,2,77
"Rua Antônio Freitas Barbosa, Capão Raso",315900,42-51,2,1,1,26
"Rua Nicolau Salomão, Tingui",311000,59,2,1,1,74
"Rua Edmundo Alberto Mercer, Tingui",312900,25-64,1-2,0-1,1-2,74
"Rua Coronel Dulcídio, Batel",3500000,434,5,4,6,13
"Rua Tobias de Macedo Júnior, Santo Inácio",980000,163,2,2,4,63
"Rua João Menegusso, Santa Felicidade",5300000,600,4,6,7,61
"Rua Martim Afonso, São Francisco",1650900,125,2,2,2,65
"Alto da Rua XV, Curitiba",864133,90,3,1,3,6
"Portão, Curitiba",755000,171,3,2,2,56
"Rua Engenheiro Luiz Natal Bonin, Taboão",773187,402,3,4,3,71
"Rua Lourenço Bizinelli, Campo Comprido",348398,46,1,1,1,23
"Rua Manoel Eufrásio, Juvevê",1689661,159,3,3,3,46
"Rua Maria Clara, Alto da Glória",1121800,98,3,2,2,4
"Rua Conselheiro Araújo, Centro Cívico",2500000,344,,,,28
"Estrada Guilherme Weigert, Santa Cândida",206600,58,3,1,1,60
"Rua Engenheiro Ostoja Roguski, Jardim Botânico",615000,75,2,1,1,43
"Rua Ulisses José Ribeiro, Jardim das Américas",679340,600,,,,45
"Rua Pedro Collere, Vila Izabel",1953343,172,4,3,3,77
"Rua João Batista Trentin, Tingui",439900,60,2,1,1,74
"Rua Pedro Krasinski, Capão Raso",434770,73,2,1,2,26
"Avenida Alcir Martins Bastos, Fazendinha",1300000,508,4,7,2,37
"Rua Jerônimo Durski, Bigorrilho",3570920,250,,6,,14
"Rua Irmãs Paulinas, Novo Mundo",181000,28,1,,1,51
"Rua Luiz França, Cajuru",228220,34,2,,1,21
"Avenida Comendador Franco, Uberaba",224500,34-44,1-2,1,1,75
"Rua Monsenhor Ivo Zanlorenzi, Cidade Industrial",836357,113,3,2,2,33
"Rua Dezenove de Novembro, Estancia Pinhais",1088000,177,1-2,2,4,-1
"Rua Luiz Augusto Marckmann Grocoske, Campo Comprido",2950000,339,4,4,6,23
"Rua Ivo Ferro, Uberaba",1697000,260,3,2,4,75
"Rua Bôrtolo Gusso, Capão Raso",850000,180,3,3,2,26
"Rua Armando Sales de Oliveira, Guabirotuba",1045000,179,3,2,3,39
"Rua Manoel Valdomiro de Macedo, Cidade Industrial",219990,44,2,1,1,33
"Rua Capitão Souza Franco, Champagnat",1150000,96,,3,,32
"Rua Rosa Kaint Nadolny, Campo Comprido",711934,74,2,1,2,23
"Rua José Casagrande, Vista Alegre",600000,492,,,,78
"Bigorrilho, Curitiba",806296,68,2,,2,14
"Rua Maria Pellanda Scroccaro, Umbara",315000,70,2,2,1,76
"Rua Rosa Sanson da Silva, Barreirinha",1500000,341,3,2,2,12
"São Francisco, Curitiba",1039506,83,2,,3,65
"Campo de Santana, Curitiba",235000,64,2,1,1,24
"Rua Luísa Dariva, Campina do Siqueira",5200000,305,3,7,9,22
"Rua Jovino do Rosário, Boa Vista",515000,60,3,1,2,15
"Rua Canadá, Bacacheri",980499,106,3,2,2,9
"Rua Luiz Rebellatto, Xaxim",650000,146,3,3,4,79
"Tingui, Curitiba",314000,41,1,,2,74
"Rua Apolônio de Tiana, Santa Cândida",219020,142,,,,60
"Rua Monsenhor Manoel Vicente, Água Verde",2480000,250,3,3,5,1
"Rua Martim Afonso, Bigorrilho",2020000,141,3,3,5,14
"Rua Dezenove de Novembro, Centro",687500,94,,2,3,28
"Rua Dezenove de Novembro, Estancia Pinhais",594649,96-99,1-2,2,3,-1
"Rua Dezenove de Novembro, Estancia Pinhais",801890,124,,1-2,3,-1
"Rua Guararapes, Água Verde",185000,25,1,,1,1
"Rua Alberto Folloni, Ahú",3357321,228,3,3,6,2
"Rua José Clementino Bettega, Capão Raso",350000,238,,,,26
"Rua Doutor Brasílio Ferreira da Luz, Jardim das Américas",894712,160,3,2,3,45
"Avenida Winston Churchill, Capão Raso",2602400,325,,,2,26
"Avenida Paraná, Cabral",1450000,131,2,2,3,19
"Rua Esther Lacerda Pinto, Capão Raso",2799900,1680,,,,26
"Rua Angélica Manikosky Geronasso, Boa Vista",445740,62,2,1,2,15
"Cabral, Curitiba",5735972,534,3,3,4,19
"Cabral, Curitiba",3191000,229,3,3,4,19
"Avenida Visconde de Guarapuava, Batel",600000,36,,,1,13
"Rua Francisco Bunick, Abranches",850000,193,5,4,5,0
"Hugo Lange, Curitiba",899000,88,3,2,1,42
"Rua Pedro Kachel, Santa Cândida",184990,41,2,1,1,60
"Rua Maria Augusta da Silva, Atuba",1300000,362,4,6,5,7
"Capão Raso, Curitiba",590000,116,3,2,3,26
"Rua Pedro Gusso, Novo Mundo",540000,79,3,1,2,51
"Rua Henrique Itiberê da Cunha, Bom Retiro",956500,179,3,2,1,16
"Rua Teixeira Soares, Seminário",1827000,128,3,2,4,69
"Avenida Silva Jardim, Batel",2971996,187,3,3,5,13
"Cristo Rei, Curitiba",432100,78,,,1,34
"Rua José Zaleski, Capão Raso",629000,109-122,3,2,3,26
"Rua Monsenhor Ivo Zanlorenzi, Campina do Siqueira",369000,44,1-2,1,1,22
"Rua Monsenhor Ivo Zanlorenzi, Ecoville",695311,69-112,2-3,1-2,2,35
"Rua Ari José Valle, Butiatuvinha",5300000,525,4,4,6,18
"Rua Paraíba, Guaíra",430000,47,2,1,1,40
"Rua Rolando Salin Zappa Mansur, Cachoeira",585000,152,3,3,3,20
"Avenida João Gualberto, Alto da Glória",667044,41,,1,1,4
"Avenida da República, Portão",818946,85,2,1,1,56
"Rua Nicolau Gulbino, Capão da Imbuia",329900,47,2,1,2,25
"Rua Padre Antônio, Centro",1986188,154,3,3,2,28
"Avenida Winston Churchill, Capão Raso",2350000,293,,2,3,26
"Rua Padre Antônio, Centro",2499901,239,3,3,5,28
"Água Verde, Curitiba",1476250,150,4,2,5,1
"Rua Maria Noemia dos Santos, Santa Cândida",347000,66,3,1,2,60
"Rua Verônica Mickosz Bodzinski, Taboão",287000,409,,,,71
"Rua Justo Manfron, Santa Felicidade",223000,49,2,1,1,61
"Rua Waldemiro David Geronasso, Boa Vista",595000,561,,,,15
"Rua Riachuelo, Centro",260000,28,1,,1,28
"Rua Zeila Moura dos Santos, Cristo Rei",384900,79,,1,1,34
"Rua Clara Vendramin, Mossunguê",2034670,180,3,3,1,50
"Rua Cruzeiro do Sul, Pinheirinho",1800000,1108,,,,55
"Ecoville, Curitiba",676465,69,2,1,2,35
"Avenida da Integração, Bairro Alto",570000,500,,,,10
"Cristo Rei, Curitiba",715000,81,3,1,2,34
"Rua Oscar Gomes de Oliveira, Santa Cândida",234200,50-54,2,1,1,60
"Rua Casemiro Augusto Rodacki, Cidade Industrial",306900,26-55,1-2,1,1-2,33
"Rua Casemiro Augusto Rodacki, Cidade Industrial",310900,27-55,1-2,0-1,1-2,33
"Portão, Curitiba",750000,85,3,2,2,56
"Rua Monsenhor Ivo Zanlorenzi, Ecoville",3190000,270,3,3,5,35
"Rua Capitão Joseph Pereira Quevedo, Mercês",997000,580,,,,49
"Rua Emiliano Perneta, Centro",480000,54,,,,28
"Rodovia BR-116, Novo Mundo",23000000,8686,,,,51
"Rua Irmã Anatólia, Cachoeira",485000,107,3,2,2,20
"Fazendinha, Curitiba",575000,116,3,1,3,37
"Rua Ubaldino do Amaral, Alto da Rua XV",930415,87,3,2,3,6
"Rua Henrique Itiberê da Cunha, Bom Retiro",948000,177,3,2,3,16
"Rua Vitória, Cabral",715900,91,3,2,1,19
"Rua José Cadilhe, Água Verde",299900,39,1,,1,1
"Estrada Delegado Bruno de Almeida, Tatuquara",125000,44,2,1,1,73
"Rua Almirante Gonçalves, Água Verde",1050000,132,3,2,4,1
"Rua Mariano Torres, Centro",1139800,108,3,2,1,28
"Rua José Rebelato, Xaxim",2200000,1320,,,,79
"Rua Padre Antônio, Alto da Glória",2107490,148,3,3,4,4
"Rua Catarina Goossen, Xaxim",425000,77,3,1,2,79
"Rua Padre Agostinho, Mercês",690000,74,3,2,2,49
"Rua Santo Antônio, Rebouças",432000,66,2,1,1,58
"Rua Paulo Gorski, Ecoville",11239513,431,4,4,4,35
"Rua Edna Walderez Bassetti Habith, Xaxim",920000,295,4,3,4,79
"Rua Januário Alves de Souza, Boqueirão",410000,91,2,2,2,17
"Rua Elizio Ferreira do Nascimento, Tanguá",187891,41,2,1,1,-1
"Rua Pedro Kachel, Santa Cândida",192690,38-42,2,1,1,60
"Alto da Glória, Curitiba",1180000,76,2,2,1,4
"Avenida Sete de Setembro, Batel",959000,155,4,2,4,13
"Rodovia BR-116, Atuba",2150000,726,,,,7
"Rua Capitão Souza Franco, Champagnat",1150000,96,,3,,32
"Rua José Casagrande, Vista Alegre",600000,492,,,,78
"Rua Maria Pellanda Scroccaro, Umbara",315000,70,2,2,1,76
"Rua Rosa Sanson da Silva, Barreirinha",1500000,341,3,2,2,12
"Campo de Santana, Curitiba",235000,64,2,1,1,24
"Cidade Industrial, Curitiba",836357,113,3,,4,33
"Rua Luísa Dariva, Campina do Siqueira",5200000,305,3,7,9,22
"Rua Jovino do Rosário, Boa Vista",515000,60,3,1,2,15
"Rua Paulo Kulik, Santa Cândida",230000,45,2,1,1,60
"Rua Canadá, Bacacheri",980499,106,3,2,2,9
"Rua Luiz Rebellatto, Xaxim",650000,146,3,3,4,79
"Xaxim, Curitiba",23000000,8000,,,,79
"Tingui, Curitiba",314000,41,1,,2,74
"Rua Apolônio de Tiana, Santa Cândida",219020,142,,,,60
"Rua Monsenhor Manoel Vicente, Água Verde",2480000,250,3,3,5,1
"Rua Martim Afonso, Bigorrilho",2020000,141,3,3,5,14
"Rua Martim Afonso, Bigorrilho",2137900,161,3,2,3,14
"Rua Doutor Brasílio Ferreira da Luz, Jardim das Américas",894712,160,3,2,3,45
"Rua Doutor Bley Zornig, Boqueirão",590000,95-114,3,1,2,17
"Rua Mário Marques Guimarães, Pineville",522504,127,2-3,2,2,-1
"Rua Manoel Valdomiro de Macedo, Cidade Industrial",203990,44,2,1,,33
"Rua Cruzeiro do Sul, Pinheirinho",1800000,1108,,,,55
"Rua Professor Assis Gonçalves, Água Verde",1025000,146,3,2,5,1
"Rua Geraldo Lipka, Ecoville",1750000,259,4,3,5,35
"Rua Justo Manfron, Santa Felicidade",223000,49,2,1,1,61
"Rua Waldemiro David Geronasso, Boa Vista",595000,561,,,,15
"Rua Zeila Moura dos Santos, Cristo Rei",384900,79,,1,1,34
"Rua Valentin Gulin, Atuba",495000,77,3,2,2,7
"Rua Paulo Gorski, Mossunguê",7420730,307,3,3,5,50
"Rua Clara Vendramin, Mossunguê",2034670,180,3,3,1,50
"Rua Presidente Carlos Cavalcanti, São Francisco",466142,50,1,1,2,65
"Rua Coronel Ottoni Maciel, Vila Izabel",1650000,365,4,3,6,77
"Ecoville, Curitiba",676465,69,2,1,2,35
"Avenida da Integração, Bairro Alto",570000,500,,,,10
"Cristo Rei, Curitiba",715000,81,3,1,2,34
