local,preco,metragem,quartos,garagens,banheiros,bairro
"Rua Maria Noemia dos Santos, Santa Cândida",282000,50,2,1,1,60
"Rua São Vicente Pallotti, Cajuru",412097,68,3,2,2,21
"Rua Padre Anchieta, Bigorrilho",211033,41,,,,14
"Rua Oscar Wilde, Lindóia",549900,67,3,2,2,48
"Rua Coronel Carlos Bardelli, Cajuru",850000,600,,,,21
"Rua Nunes Machado, Rebouças",330000,30,1,1,1,58
"Rua Clóvis Beviláqua Sobrinho, Uberaba",745000,149,3,2,4,75
"Rua Alberico Flores Bueno, Bairro Alto",598000,115,3,2,4,10
"Boa Vista, Curitiba",726315,86,3,1,2,15
"Rua Brasílio Bacellar Filho, Tingui",374000,50,2,1,1,74
"Rua Ângelo Tozim, Campo de Santana",170000,45,2,1,1,24
"Rua Professor Orlando Sprenger Lobo, Tingui",799220,648,,,,74
"Rua Júlia Wanderley, Mercês",712348,77-159,2-3,1-3,3-4,49
"Rua Barão de Guaraúna, Alto da Glória",480900,55-147,1-2,1-2,2-3,4
"Travessa Percy Withers, Água Verde",2250000,187-352,3-4,4,6,1
"Rua Doutor Pedrosa, Centro",210000,17,1,,1,28
"Rua João Lemos dos Santos, Pinheirinho",610000,180,2,3,2,55
"Rua Amadeu Nico, Mossunguê",1200000,672,,,,50
"Rua Luiz Ronaldo Canalli, Campo Comprido",393821,56,2,1,2,23
"Avenida Anita Garibaldi, São Lourenço",28000,364,,,,67
"Rua Nicolau Salomão, Tingui",508873,88,2,2,2,74
"Rua Tobias de Macedo Júnior, Santo Inácio",525000,71,3,2,2,63
"Barreirinha, Curitiba",585000,117,3,3,2,12
"Rua Clara Vendramin, Mossunguê",1002510,174,3,2,3,50
"Rua Jovino do Rosário, Boa Vista",465000,67,2,1,2,15
"Rua Ângelo Nabosne, Ecoville",1262490,129,3,2,4,35
"Rodovia BR-116, Pinheirinho",5500000,7000,,,,55
"Rua Visconde do Rio Branco, Mercês",820000,85,2,2,3,49
"Rua Coronel Amazonas Marcondes, Cabral",1032000,109,3,1,2,19
"Rua Santinor Pinto da Rocha, Alto Boqueirão",369000,60,3,1,2,3
"Rua Monsenhor Ivo Zanlorenzi, Ecoville",805000,78,2,1,2,35
"Água Verde, Curitiba",295000,38,,1,1,1
"Rua Simão Brante, Uberaba",424000,123,3,1,3,75
"Rodovia BR-116, Pinheirinho",209000,46,2,1,1,55
"Rua José Gildo Beleski, Bacacheri",421005,48,2,1,1,9
"Rua João Batista Trentin, Tingui",469900,59,2,1,2,74
"Avenida João Gualberto, Alto da Glória",451693,19-261,,1,1,4
"Rua Constantino Marochi, Juvevê",1050000,105-179,3,2-3,4-5,46
"Rua José Cadilhe, Água Verde",433900,38-92,1-3,2,1-3,1
"Rua Theóphilo Augusto Loyola Guimarães, Atuba",620000,150,3,2,3,7
"Rua Coronel Joaquim Sarmento, Bom Retiro",356994,34,1,1,1,16
"Rua Coronel Amazonas Marcondes, Cabral",840000,81,2,1,2,19
"Rua Fortaleza, Cajuru",650000,127,3,2,3,21
"Rua Quitandinha, Sitio Cercado",630000,167,3,2,1,70
"Rua Pedro Américo, Novo Mundo",798000,130,3,2,3,51
"Rua José Zaleski, Neoville",371000,98,2,2,1,80
"Rua Brasílio Itiberê, Jardim Botânico",700000,292,,,,43
"Rua Mário Bueno Sobrinho, Uberaba",589000,109,3,2,3,75
"Rua Hilda Amaral Visinoni, Alto Boqueirão",329000,420,,,,3
"Rua Paraíba, Guaíra",635000,114,3,2,4,40
"Rua Deputado Heitor Alencar Furtado, Ecoville",299990,28,,1,1,35
"Rua Eponino Macuco, Capão Raso",366500,53,2,1,1,26
"Rua São Vicente Pallotti, Cajuru",416000,68,3,1,2,21
"Rebouças, Curitiba",890000,440,,,,58
"Rua General Mário Tourinho, Campina do Siqueira",450000,37,,1,1,22
"Rua Quintino Bocaiúva, Cabral",1729406,176,3,2,5,19
"Rua Paulo Kulik, Santa Cândida",227900,48,2,,1,60
"Rua Manoel Valdomiro de Macedo, Cidade Industrial",227000,45,2,1,1,33
"Rua João Schleder Sobrinho, Boa Vista",749900,88,2,2,3,15
"Rua Engenheiro Ostoja Roguski, Jardim Botânico",585000,76,2,1,2,43
"Avenida Presidente Affonso Camargo, Cristo Rei",563400,63-81,1-3,1,2,34
"Rua Nicolau Maeder, Juvevê",439371,46,2,,1,46
"Rua Professor Luiz César, Água Verde",423900,28-84,1-3,0-2,1-2,1
"Rua Amazonas, Água Verde",590000,80,3,1,2,1
"Rua David Bodziak, Cachoeira",133000,45,2,1,1,20
"Rua Brasílio Itiberê, Rebouças",319900,87,3,1,2,58
"Ganchinho, Curitiba",379000,83,2,1,2,38
"Rua Tenente-Coronel Servando de Loyola e Silva, Barreirinha",629500,113,3,3,2,12
"Centro, Curitiba",550000,58,,1,1,28
"Travessa Rafael Francisco Greca, Água Verde",504080,71,1,1,1,1
"Rua Leon Nicolas, Capão Raso",419000,71,3,1,2,26
"Rua Diamante do Norte, Fazendinha",890000,220,3,8,4,37
"Rua Presidente Faria, Centro",380000,50,,,1,28
"Rua José Merhy, Boa Vista",465867,65,2,1,2,15
"Pinheirinho, Curitiba",400000,102,2,1,1,55
"Rua Capitão João Zaleski, Lindóia",290000,57,2,1,1,48
"Rua Vereador Aurelino Mader Gonçalves, Xaxim",285000,49,2,1,1,79
"Rua Vereador Antônio Giacomassi, Alto Boqueirão",530000,494,,,,3
"Rua Antônio Parolin Júnior, Parolin",423000,83,3,1,3,53
"Rua Coronel Joaquim Sarmento, Bom Retiro",280000,33,1,1,1,16
"Rua Serafim França, Novo Mundo",540000,66,2,1,2,51
"Rua Maria Clara, Alto da Glória",1121800,99,3,2,3,4
"Rua Tobias de Macedo Júnior, Barigui",449100,56,2,2,2,11
"Rua Paraíba, Guaíra",735000,120,3,4,1,40
"Rua Professor Luiz César, Água Verde",237900,31-60,1,0-2,1,1
"Rua Presidente Beaurepaire Rohan, Cristo Rei",800000,85-150,2-3,2-3,3,34
"Rua Moyses Marcondes, Juvevê",1060000,105-129,3,2-3,3-4,46
"Alameda Princesa Izabel, São Francisco",154000,17,,,1,65
"Rua Cascavel, Boqueirão",619000,135,3,2,4,17
"Vista Alegre, Curitiba",2300000,288,9,,5,78
